sjis_hex,glyph_index,sjis_char,kor_char
0x8bc2,1471,仰,뗑
0x8bc3,1472,凝,뗘
0x8bc4,1473,尭,뗬
0x8bc5,1474,暁,또
0x8bc6,1475,業,똑
0x8bc7,1476,局,똔
0x8bc8,1477,曲,똘
0x8bc9,1478,極,똥
0x8bca,1479,玉,똬
0x8bcb,1480,桐,똴
0x8bcc,1481,粁,뙈
0x8bcd,1482,僅,뙤
0x8bce,1483,勤,뙨
0x8bcf,1484,均,뚜
0x8bd0,1485,巾,뚝
0x8bd1,1486,錦,뚠
0x8bd2,1487,斤,뚤
0x8bd3,1488,欣,뚫
0x8bd4,1489,欽,뚬
0x8bd5,1490,琴,뚱
0x8bd6,1491,禁,뛔
0x8bd7,1492,禽,뛰
0x8bd8,1493,筋,뛴
0x8bd9,1494,緊,뛸
0x8bda,1495,芹,뜀
0x8bdb,1496,菌,뜁
0x8bdc,1497,衿,뜅
0x8bdd,1498,襟,뜨
0x8bde,1499,謹,뜩
0x8bdf,1500,近,뜬
0x8be0,1501,金,뜯
0x8be1,1502,吟,뜰
0x8be2,1503,銀,뜸
0x8be3,1504,九,뜹
0x8be4,1505,倶,뜻
0x8be5,1506,句,띄
0x8be6,1507,区,띈
0x8be7,1508,狗,띌
0x8be8,1509,玖,띔
0x8be9,1510,矩,띕
0x8bea,1511,苦,띠
0x8beb,1512,躯,띤
0x8bec,1513,駆,띨
0x8bed,1514,駈,띰
0x8bee,1515,駒,띱
0x8bef,1516,具,띳
0x8bf0,1517,愚,띵
0x8bf1,1518,虞,라
0x8bf2,1519,喰,락
0x8bf3,1520,空,란
0x8bf4,1521,偶,랄
0x8bf5,1522,寓,람
0x8bf6,1523,遇,랍
0x8bf7,1524,隅,랏
0x8bf8,1525,串,랐
0x8bf9,1526,櫛,랑
0x8bfa,1527,釧,랒
0x8bfb,1528,屑,랖
0x8bfc,1529,屈,랗
0x8c40,1530,掘,래
0x8c41,1531,窟,랙
0x8c42,1532,沓,랜
0x8c43,1533,靴,랠
0x8c44,1534,轡,램
0x8c45,1535,窪,랩
0x8c46,1536,熊,랫
0x8c47,1537,隈,랬
0x8c48,1538,粂,랭
0x8c49,1539,栗,랴
0x8c4a,1540,繰,략
0x8c4b,1541,桑,랸
0x8c4c,1542,鍬,럇
0x8c4d,1543,勲,량
0x8c4e,1544,君,러
0x8c4f,1545,薫,럭
0x8c50,1546,訓,런
0x8c51,1547,群,럴
0x8c52,1548,軍,럼
0x8c53,1549,郡,럽
0x8c54,1550,卦,럿
0x8c55,1551,袈,렀
0x8c56,1552,祁,렁
0x8c57,1553,係,렇
0x8c58,1554,傾,레
0x8c59,1555,刑,렉
0x8c5a,1556,兄,렌
0x8c5b,1557,啓,렐
0x8c5c,1558,圭,렘
0x8c5d,1559,珪,렙
0x8c5e,1560,型,렛
0x8c5f,1561,契,렝
0x8c60,1562,形,려
0x8c61,1563,径,력
0x8c62,1564,恵,련
